```
temperatura,humidade,data,rega_necessaria_min
22.7,56.8,2025-05-18 17:00:48.000000,13
22.8,56.8,2025-05-18 17:00:50.000000,13
22.8,56.9,2025-05-18 17:00:52.000000,13
22.8,56.9,2025-05-18 17:00:54.000000,13
22.8,57.0,2025-05-18 17:00:56.000000,13
22.8,57.0,2025-05-18 17:00:58.000000,13
22.9,57.1,2025-05-18 17:01:00.000000,12
22.9,57.1,2025-05-18 17:01:02.000000,12
22.9,57.2,2025-05-18 17:01:04.000000,12
22.9,57.2,2025-05-18 17:01:06.000000,12
22.9,57.3,2025-05-18 17:01:08.000000,12
23.0,57.3,2025-05-18 17:01:10.000000,12
23.0,57.4,2025-05-18 17:01:12.000000,12
23.0,57.4,2025-05-18 17:01:14.000000,12
23.0,57.5,2025-05-18 17:01:16.000000,12
23.0,57.5,2025-05-18 17:01:18.000000,12
20.0,70.5,2025-05-18 18:00:00.000000,5
20.0,70.5,2025-05-18 18:00:02.000000,5
20.0,70.6,2025-05-18 18:00:04.000000,5
20.0,70.6,2025-05-18 18:00:06.000000,5
20.0,70.7,2025-05-18 18:00:08.000000,5
20.1,70.7,2025-05-18 18:00:10.000000,5
20.1,70.8,2025-05-18 18:00:12.000000,5
20.1,70.8,2025-05-18 18:00:14.000000,5
20.1,70.9,2025-05-18 18:00:16.000000,5
20.1,70.9,2025-05-18 18:00:18.000000,5
20.2,71.0,2025-05-18 18:00:20.000000,5
20.2,71.0,2025-05-18 18:00:22.000000,5
20.2,71.1,2025-05-18 18:00:24.000000,5
20.2,71.1,2025-05-18 18:00:26.000000,5
20.2,71.2,2025-05-18 18:00:28.000000,5
20.3,71.2,2025-05-18 18:00:30.000000,5
20.3,71.3,2025-05-18 18:00:32.000000,5
20.3,71.3,2025-05-18 18:00:34.000000,5
20.3,71.4,2025-05-18 18:00:36.000000,5
20.3,71.4,2025-05-18 18:00:38.000000,5
20.4,71.5,2025-05-18 18:00:40.000000,5
20.4,71.5,2025-05-18 18:00:42.000000,5
20.4,71.6,2025-05-18 18:00:44.000000,5
20.4,71.6,2025-05-18 18:00:46.000000,5
20.4,71.7,2025-05-18 18:00:48.000000,5
20.5,71.7,2025-05-18 18:00:50.000000,5
20.5,71.8,2025-05-18 18:00:52.000000,5
20.5,71.8,2025-05-18 18:00:54.000000,5
20.5,71.9,2025-05-18 18:00:56.000000,5
20.5,71.9,2025-05-18 18:00:58.000000,5
20.6,72.0,2025-05-18 18:01:00.000000,5
20.6,72.0,2025-05-18 18:01:02.000000,5
20.6,72.1,2025-05-18 18:01:04.000000,5
20.6,72.1,2025-05-18 18:01:06.000000,5
20.6,72.2,2025-05-18 18:01:08.000000,5
20.7,72.2,2025-05-18 18:01:10.000000,5
20.7,72.3,2025-05-18 18:01:12.000000,5
20.7,72.3,2025-05-18 18:01:14.000000,5
20.7,72.4,2025-05-18 18:01:16.000000,5
20.7,72.4,2025-05-18 18:01:18.000000,5
24.0,35.5,2025-05-18 19:00:00.000000,30
24.0,35.5,2025-05-18 19:00:02.000000,30
24.0,35.6,2025-05-18 19:00:04.000000,30
24.0,35.6,2025-05-18 19:00:06.000000,30
24.0,35.7,2025-05-18 19:00:08.000000,30
24.1,35.7,2025-05-18 19:00:10.000000,30
24.1,35.8,2025-05-18 19:00:12.000000,30
24.1,35.8,2025-05-18 19:00:14.000000,30
24.1,35.9,2025-05-18 19:00:16.000000,30
24.1,35.9,2025-05-18 19:00:18.000000,30
24.2,36.0,2025-05-18 19:00:20.000000,30
24.2,36.0,2025-05-18 19:00:22.000000,30
24.2,36.1,2025-05-18 19:00:24.000000,30
24.2,36.1,2025-05-18 19:00:26.000000,30
24.2,36.2,2025-05-18 19:00:28.000000,30
24.3,36.2,2025-05-18 19:00:30.000000,30
24.3,36.3,2025-05-18 19:00:32.000000,30
24.3,36.3,2025-05-18 19:00:34.000000,30
24.3,36.4,2025-05-18 19:00:36.000000,30
24.3,36.4,2025-05-18 19:00:38.000000,30
24.4,36.5,2025-05-18 19:00:40.000000,30
24.4,36.5,2025-05-18 19:00:42.000000,30
24.4,36.6,2025-05-18 19:00:44.000000,30
24.4,36.6,2025-05-18 19:00:46.000000,30
24.4,36.7,2025-05-18 19:00:48.000000,30
24.5,36.7,2025-05-18 19:00:50.000000,30
24.5,36.8,2025-05-18 19:00:52.000000,30
24.5,36.8,2025-05-18 19:00:54.000000,30
24.5,36.9,2025-05-18 19:00:56.000000,30
24.5,36.9,2025-05-18 19:00:58.000000,30
24.6,37.0,2025-05-18 19:01:00.000000,30
24.6,37.0,2025-05-18 19:01:02.000000,30
24.6,37.1,2025-05-18 19:01:04.000000,30
24.6,37.1,2025-05-18 19:01:06.000000,30
24.6,37.2,2025-05-18 19:01:08.000000,30
24.7,37.2,2025-05-18 19:01:10.000000,30
24.7,37.3,2025-05-18 19:01:12.000000,30
24.7,37.3,2025-05-18 19:01:14.000000,30
24.7,37.4,2025-05-18 19:01:16.000000,30
24.7,37.4,2025-05-18 19:01:18.000000,30
24.8,53.2,2025-05-18 20:00:00.000000,16
24.8,53.2,2025-05-18 20:00:02.000000,16
24.8,53.3,2025-05-18 20:00:04.000000,16
24.8,53.3,2025-05-18 20:00:06.000000,16
24.8,53.4,2025-05-18 20:00:08.000000,16
24.9,53.4,2025-05-18 20:00:10.000000,16
24.9,53.5,2025-05-18 20:00:12.000000,16
24.9,53.5,2025-05-18 20:00:14.000000,16
24.9,53.6,2025-05-18 20:00:16.000000,16
24.9,53.6,2025-05-18 20:00:18.000000,16
25.0,53.7,2025-05-18 20:00:20.000000,16
25.0,53.7,2025-05-18 20:00:22.000000,16
25.0,53.8,2025-05-18 20:00:24.000000,16
25.0,53.8,2025-05-18 20:00:26.000000,16
25.0,53.9,2025-05-18 20:00:28.000000,16
25.1,53.9,2025-05-18 20:00:30.000000,17
25.1,54.0,2025-05-18 20:00:32.000000,17
25.1,54.0,2025-05-18 20:00:34.000000,17
25.1,54.1,2025-05-18 20:00:36.000000,17
25.1,54.1,2025-05-18 20:00:38.000000,17
25.2,54.2,2025-05-18 20:00:40.000000,17
25.2,54.2,2025-05-18 20:00:42.000000,17
25.2,54.3,2025-05-18 20:00:44.000000,17
25.2,54.3,2025-05-18 20:00:46.000000,17
25.2,54.4,2025-05-18 20:00:48.000000,17
25.3,54.4,2025-05-18 20:00:50.000000,17
25.3,54.5,2025-05-18 20:00:52.000000,17
25.3,54.5,2025-05-18 20:00:54.000000,17
25.3,54.6,2025-05-18 20:00:56.000000,17
25.3,54.6,2025-05-18 20:00:58.000000,17
25.4,54.7,2025-05-18 20:01:00.000000,17
25.4,54.7,2025-05-18 20:01:02.000000,17
25.4,54.8,2025-05-18 20:01:04.000000,17
25.4,54.8,2025-05-18 20:01:06.000000,17
25.4,54.9,2025-05-18 20:01:08.000000,17
25.5,54.9,2025-05-18 20:01:10.000000,17
25.5,55.0,2025-05-18 20:01:12.000000,17
25.5,55.0,2025-05-18 20:01:14.000000,17
25.5,55.1,2025-05-18 20:01:16.000000,17
25.5,55.1,2025-05-18 20:01:18.000000,17
