temperatura,humidade,data,rega_necessaria_min
32.1,25.3,2025-05-16 17:26:00,8
37.7,44.3,2025-05-16 04:37:00,15
34.3,81.6,2025-05-16 00:21:00,0
25.0,66.0,2025-05-16 12:03:00,0
29.2,47.6,2025-05-16 18:43:00,3
26.7,36.5,2025-05-17 18:38:00,6
29.4,68.2,2025-05-17 17:27:00,0
32.9,64.3,2025-05-17 07:40:00,0
35.4,34.5,2025-05-17 16:24:00,18
18.2,83.0,2025-05-17 05:57:00,0
18.9,80.1,2025-05-17 14:20:00,0
29.1,83.0,2025-05-17 04:35:00,0
30.6,65.2,2025-05-17 17:46:00,0
31.9,45.0,2025-05-17 00:52:00,5
36.3,82.3,2025-05-17 22:56:00,7
25.9,26.9,2025-05-17 15:07:00,6
21.4,62.0,2025-05-17 20:07:00,0
22.6,37.3,2025-05-17 07:57:00,3
23.2,49.5,2025-05-17 04:40:00,0
24.2,72.9,2025-05-17 16:08:00,0
20.7,25.0,2025-05-17 15:28:00,3
26.3,57.8,2025-05-17 05:17:00,3
36.7,76.3,2025-05-17 01:09:00,9
18.5,44.5,2025-05-17 12:04:00,0
37.7,29.8,2025-05-17 00:17:00,18
25.6,83.0,2025-05-18 20:25:00,0
19.3,22.4,2025-05-18 16:12:00,3
19.1,76.2,2025-05-18 00:20:00,0
38.0,84.8,2025-05-18 16:04:00,7
33.4,81.4,2025-05-18 20:22:00,0
22.9,49.3,2025-05-18 09:18:00,0
37.1,59.4,2025-05-18 13:00:00,15
33.1,23.0,2025-05-18 00:48:00,8
31.4,53.8,2025-05-18 07:38:00,5
28.4,75.4,2025-05-18 21:02:00,0
29.2,77.0,2025-05-18 21:43:00,0
27.6,47.3,2025-05-18 16:47:00,3
30.8,72.3,2025-05-18 04:20:00,0
30.3,83.7,2025-05-18 06:37:00,0
30.7,56.1,2025-05-18 17:33:00,5
25.0,53.4,2025-05-18 18:33:00,0
25.9,60.4,2025-05-18 23:14:00,0
37.0,29.6,2025-05-18 18:16:00,18
27.8,36.8,2025-05-18 23:16:00,6
37.6,52.0,2025-05-18 23:04:00,15
29.6,42.2,2025-05-19 12:42:00,3
27.2,58.0,2025-05-19 14:56:00,3
32.0,31.7,2025-05-19 10:53:00,8
26.2,76.8,2025-05-19 03:55:00,0
22.5,73.4,2025-05-19 17:57:00,0
25.0,22.1,2025-05-19 17:27:00,3
28.7,43.1,2025-05-19 05:00:00,3
20.6,41.5,2025-05-19 13:33:00,0
34.0,60.8,2025-05-19 08:25:00,0
35.5,79.9,2025-05-19 14:55:00,9
35.4,25.5,2025-05-19 16:25:00,18
22.2,44.1,2025-05-19 02:51:00,0
30.4,44.0,2025-05-19 21:13:00,5
32.9,22.4,2025-05-19 23:01:00,8
32.3,78.2,2025-05-19 23:50:00,0
28.6,27.0,2025-05-19 13:42:00,6
25.9,26.8,2025-05-19 05:34:00,6
21.6,56.7,2025-05-19 22:36:00,0
19.8,54.8,2025-05-19 16:38:00,0
29.9,64.1,2025-05-19 16:12:00,0
28.0,25.6,2025-05-20 02:40:00,6
29.7,68.5,2025-05-20 14:21:00,0
20.6,38.4,2025-05-20 16:43:00,3
30.9,57.1,2025-05-20 05:51:00,5
37.7,59.4,2025-05-20 23:58:00,15
20.0,29.9,2025-05-20 00:52:00,3
21.2,32.1,2025-05-20 22:47:00,3
34.8,23.4,2025-05-20 23:54:00,8
37.6,27.3,2025-05-20 07:36:00,18
37.4,76.3,2025-05-20 01:19:00,9
23.2,31.1,2025-05-20 05:53:00,3
32.4,54.8,2025-05-20 18:56:00,5
33.4,32.2,2025-05-20 18:44:00,8
26.5,53.0,2025-05-20 21:03:00,3
20.3,59.7,2025-05-20 16:11:00,0
28.1,80.6,2025-05-20 05:36:00,0
29.9,44.0,2025-05-20 12:42:00,3
29.0,55.7,2025-05-20 23:09:00,3
31.7,25.7,2025-05-20 01:12:00,8
33.2,58.7,2025-05-20 04:08:00,5
